127.0.0.1 - - [11/Jun/2021:09:21:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:21:38 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:21:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:22:46 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:11 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:28 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:07 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:29 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:38 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:38 +0900] "GET /Lecture-web/html/img/cat.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:38 +0900] "GET /Lecture-web/html/img/simpson.gif HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:38 +0900] "GET /Lecture-web/html/img/toby.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:12 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:12 +0900] "GET /Lecture-web/html/img/simpson.gif HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:12 +0900] "GET /Lecture-web/html/img/toby.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:12 +0900] "GET /Lecture-web/html/img/cat.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:28:13 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 426
